Date,Dif Rates,Rate_COP
2020-12-18,-1.621,3419.94
2020-12-21,-1.621,3427.28
2020-12-22,-1.641,3451.75
2020-12-23,-1.652,3488.25
2020-12-24,-1.631,3499.47
2020-12-28,-1.6219999999999999,3495.02
2020-12-29,-1.6059999999999999,3480.71
2020-12-30,-1.6119999999999999,3429.73
2021-01-04,-1.597,3432.69
2021-01-05,-1.5759999999999998,3446.24
2021-01-06,-1.585,3425.09
2021-01-07,-1.591,3474.13
2021-01-08,-1.5999999999999999,3475.8
2021-01-12,-1.615,3483.5
2021-01-13,-1.613,3478.77
2021-01-14,-1.613,3462.02
2021-01-15,-1.6119999999999999,3465.69
2021-01-18,-1.6179999999999999,3480.35
2021-01-19,-1.6239999999999999,3487.04
2021-01-20,-1.631,3471.73
2021-01-21,-1.653,3479.85
2021-01-22,-1.646,3527.05
2021-01-25,-1.639,3589.13
2021-01-26,-1.67,3596.38
2021-01-27,-1.674,3621.18
2021-01-28,-1.666,3572.99
2021-01-29,-1.645,3575.78
2021-02-01,-1.641,3568.8
2021-02-02,-1.642,3530.27
2021-02-03,-1.642,3528.58
2021-02-04,-1.661,3555.52
2021-02-05,-1.692,3547.25
2021-02-08,-1.692,3561.38
2021-02-09,-1.662,3582.55
2021-02-10,-1.651,3557.99
2021-02-11,-1.651,3527.71
2021-02-12,-1.662,3510.12
2021-02-15,-1.662,3501.84
2021-02-16,-1.651,3521.39
2021-02-17,-1.651,3540.46
2021-02-18,-1.681,3539.68
2021-02-19,-1.691,3559.25
2021-02-22,-1.68,3597.85
2021-02-23,-1.697,3590.88
2021-02-24,-1.687,3571.22
2021-02-25,-1.675,3592.82
2021-02-26,-1.689,3608.27
2021-03-01,-1.676,3616.94
2021-03-02,-1.652,3637.01
2021-03-03,-1.652,3661.06
2021-03-04,-1.674,3643.62
2021-03-05,-1.677,3635.33
2021-03-08,-1.672,3615.32
2021-03-09,-1.666,3598.41
2021-03-10,-1.659,3582.17
2021-03-11,-1.658,3542.72
2021-03-12,-1.61,3568.25
2021-03-15,-1.604,3572.19
2021-03-16,-1.6199999999999999,3558.49
2021-03-17,-1.645,3567.33
2021-03-18,-1.658,3570.78
2021-03-19,-1.662,3551.6
2021-03-23,-1.66,3579.04
2021-03-24,-1.67,3614.09
2021-03-26,-1.67,3667.92
2021-03-29,-1.667,3680.71
2021-03-30,-1.678,3720.43
2021-03-31,-1.672,3704.37
2021-04-05,-1.675,3660.2
2021-04-06,-1.674,3646.17
2021-04-07,-1.678,3643.11
2021-04-08,-1.68,3642.07
2021-04-09,-1.686,3639.01
2021-04-12,-1.678,3653.54
2021-04-13,-1.682,3666.46
2021-04-14,-1.686,3672.36
2021-04-15,-1.683,3612.88
2021-04-16,-1.683,3609.7
2021-04-19,-1.69,3602.02
2021-04-20,-1.69,3639.46
2021-04-21,-1.693,3627.09
2021-04-22,-1.698,3637.61
2021-04-23,-1.699,3639.63
2021-04-26,-1.7,3652.5
2021-04-27,-1.7,3715.51
2021-04-28,-1.696,3708.85
2021-04-29,-1.701,3710.47
2021-04-30,-1.705,3729.88
2021-05-03,-1.706,3819.67
2021-05-04,-1.707,3824.86
2021-05-05,-1.706,3845.59
2021-05-06,-1.706,3821.25
2021-05-07,-1.706,3763.64
2021-05-10,-1.7,3740.42
2021-05-11,-1.699,3708.81
2021-05-12,-1.704,3747.06
2021-05-13,-1.704,3729.79
2021-05-14,-1.704,3704.54
2021-05-18,-1.705,3666.45
2021-05-19,-1.707,3672.45
2021-05-20,-1.711,3696.84
2021-05-21,-1.715,3746.15
2021-05-24,-1.709,3736.25
2021-05-25,-1.712,3734.9
2021-05-26,-1.712,3743.15
2021-05-27,-1.715,3729.19
2021-05-28,-1.716,3707.15
2021-05-31,-1.706,3711.95
2021-06-01,-1.705,3666.21
2021-06-02,-1.708,3649.8
2021-06-03,-1.711,3646.58
2021-06-04,-1.708,3599.98
2021-06-08,-1.707,3604.85
2021-06-09,-1.704,3591.9
2021-06-10,-1.702,3589.94
2021-06-11,-1.703,3603.44
2021-06-15,-1.703,3663.95
2021-06-16,-1.702,3678.23
2021-06-17,-1.662,3713.35
2021-06-18,-1.662,3745.4
2021-06-21,-1.662,3759.14
2021-06-22,-1.661,3782.27
2021-06-23,-1.662,3784.94
2021-06-24,-1.662,3774.42
2021-06-25,-1.662,3731.85
2021-06-28,-1.662,3708.75
2021-06-29,-1.662,3767.41
2021-06-30,-1.662,3752.35
2021-07-01,-1.661,3784.65
2021-07-02,-1.662,3743.27
2021-07-06,-1.664,3787.46
2021-07-07,-1.663,3831.4
2021-07-08,-1.664,3843.38
2021-07-09,-1.662,3834.01
2021-07-12,-1.662,3823.02
2021-07-13,-1.664,3824.41
2021-07-14,-1.663,3794.99
2021-07-15,-1.664,3802.23
2021-07-16,-1.665,3809.99
2021-07-19,-1.667,3854.89
2021-07-21,-1.666,3854.63
2021-07-22,-1.666,3870.01
2021-07-23,-1.666,3869.56
2021-07-26,-1.666,3908.43
2021-07-27,-1.666,3919.06
2021-07-28,-1.665,3905.47
2021-07-29,-1.662,3867.61
2021-07-30,-1.662,3830.75
2021-08-02,-1.662,3886.29
2021-08-03,-1.664,3911.09
2021-08-04,-1.664,3909.46
2021-08-05,-1.664,3910.18
2021-08-06,-1.664,3957.44
2021-08-09,-1.663,3997.33
2021-08-10,-1.663,3969.9
2021-08-11,-1.663,3944.04
2021-08-12,-1.663,3858.58
2021-08-13,-1.663,3846.38
2021-08-17,-1.664,3879.42
2021-08-18,-1.664,3852.32
2021-08-19,-1.664,3870.11
2021-08-20,-1.664,3872.2
2021-08-23,-1.664,3876.48
2021-08-24,-1.667,3866.65
2021-08-25,-1.667,3865.0
2021-08-26,-1.669,3866.14
2021-08-27,-1.671,3829.46
2021-08-30,-1.67,3815.79
2021-08-31,-1.669,3771.96
2021-09-01,-1.671,3762.93
2021-09-02,-1.674,3797.56
2021-09-03,-1.677,3800.6
2021-09-06,-1.678,3794.52
2021-09-07,-1.675,3813.82
2021-09-08,-1.666,3834.76
2021-09-09,-1.661,3853.15
2021-09-10,-1.661,3838.69
2021-09-13,-1.665,3833.47
2021-09-14,-1.669,3829.92
2021-09-15,-1.672,3814.78
2021-09-16,-1.677,3816.97
2021-09-17,-1.681,3830.0
2021-09-20,-1.683,3842.8
2021-09-21,-1.684,3838.39
2021-09-22,-1.685,3832.01
2021-09-23,-1.685,3833.42
2021-09-24,-1.688,3837.65
2021-09-27,-1.691,3843.52
2021-09-28,-1.693,3834.9
2021-09-29,-1.694,3839.97
2021-09-30,-1.695,3807.8
2021-10-01,-1.923,3793.38
2021-10-04,-1.929,3795.4
2021-10-05,-1.93,3785.05
2021-10-06,-1.926,3787.56
2021-10-07,-1.925,3774.5
